Symbol,Name,Frequency
MVIS,MicroVision Inc. Common Stock,149
OCGN,Ocugen Inc. Common Stock,47
COIN,Coinbase Inc. Common Stock,36
PLTR,Palantir Technologies Inc. Class A Common Stock,26
CLOV,Clover Health Investments Corp. Class A Common Stock,16
AAPL,Apple Inc. Common Stock,15
DTE,DTE Energy Company Common Stock,13
TSLA,Tesla Inc. Common Stock,12
EOD,Wells Fargo Global Dividend Opportunity Fund,7
SNAP,Snap Inc. Class A Common Stock,4
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,4
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,3
INTC,Intel Corporation Common Stock,3
PLUG,Plug Power Inc. Common Stock,3
F,Ford Motor Company Common Stock,3
LI,Li Auto Inc. American Depositary Shares,2
PTON,Peloton Interactive Inc. Class A Common Stock,2
RIOT,Riot Blockchain Inc.  Common Stock,2
GME,GameStop Corporation Common Stock,2
UBER,Uber Technologies Inc. Common Stock,2
APHA,Aphria Inc. Common Shares,2
MNMD,MindMed Inc.,2
