Symbol,Name,Frequency
MVIS,microvision,725
GME,gamestop,362
PLTR,palantir,226
TSLA,tesla,187
AAPL,apple,158
VIAC,viacomcbs,128
HOPE,hope,125
SKLZ,skillz,118
AMC,amc,117
CLOV,clover,85
AMD,advanced,81
NKLA,nikola,76
RKT,rocket,69
NIO,nio,66
COIN,coinbase,61
LYV,live,60
PTON,peloton,57
B,barnes,49
EYES,second,49
DTE,dte,47
OCGN,ocugen,47
BB,blackberry,47
SNAP,snap,44
BABA,alibaba,44
PLUG,plug,43
NFLX,netflix,37
F,ford,36
RIOT,riot,35
INTC,intel,32
CS,credit,31
SQ,square,30
EOD,wells,28
TSM,taiwan,27
HYLN,hyliion,26
GM,general,25
PSA,public,24
TGT,target,22
TDC,teradata,22
FSR,fisker,22
FB,facebook,22
DIS,walt,21
PRPL,purple,21
GNUS,genius,21
FUBO,fubotv,20
DAL,delta,19
APHA,aphria,19
CLNE,clean,18
BNGO,bionano,17
SPCE,virgin,17
MSFT,microsoft,17
LAZR,luminar,14
LL,lumber,14
MU,micron,14
AAL,american,14
EXAS,exact,14
NNDM,nano,13
SP,sp,13
III,information,13
NOK,nokia,13
CRSP,crispr,12
CMG,chipotle,12
NVDA,nvidia,12
TLRY,tilray,12
FEDU,four,11
TDA,telephone,11
BA,boeing,10
X,united,10
OPEN,opendoor,10
BYND,beyond,10
ID,parts,10
ZM,zoom,10
WM,waste,10
KMI,kinder,10
MARA,marathon,9
DISCB,discovery,9
DISCA,discovery,9
DOW,dow,9
PYPL,paypal,9
SNDL,sundial,9
SIX,six,8
PINS,pinterest,8
ABNB,airbnb,8
IP,international,8
BRO,brown,8
IBKR,interactive,8
PFE,pfizer,8
TD,toronto,8
UAL,united,7
AAP,advance,7
RTX,raytheon,7
XL,xl,7
RSI,rush,7
ELS,equity,7
AMAT,applied,7
IBM,international,7
XM,qualtrics,7
BAM,brookfield,6
OTLK,outlook,6
ASML,asml,6
Z,zillow,6
CHWY,chewy,6
APPS,digital,6
PACB,pacific,6
VIACA,viacomcbs,6
LPL,lg,6
PDT,john,6
V,visa,6
BBQ,bbq,6
CHD,church,5
SAVE,spirit,5
ROKU,roku,5
BEAM,beam,5
FUTU,futu,5
MOMO,momo,5
HIMS,hims,5
WW,ww,5
LRCX,lam,5
UNP,union,5
GOEV,canoo,5
AMWL,american,5
MA,mastercard,5
WMT,walmart,4
ED,consolidated,4
OLED,universal,4
LUV,southwest,4
WKHS,workhorse,4
PB,prosperity,4
ESTC,elastic,4
NET,cloudflare,4
OGI,organigram,4
GS,goldman,3
SILK,silk,3
HUGE,fsd,3
SPOT,spotify,3
SPPI,spectrum,3
ATVI,activision,3
SRNE,sorrento,3
JPM,jp,3
TTCF,tattooed,3
LMT,lockheed,3
ROOT,root,3
RLX,rlx,3
WBT,welbilt,3
MRNA,moderna,3
BP,bp,3
UBER,uber,3
SSD,simpson,3
WOOF,petco,2
TLS,telos,2
UPS,united,2
UPST,upstart,2
ULTA,ulta,2
CCJ,cameco,2
AYX,alteryx,2
MS,morgan,2
GPRO,gopro,2
GSX,gsx,2
INO,inovio,2
EA,electronic,2
ISUN,isun,2
KT,kt,2
LAC,lithium,2
DISH,dish,2
LVS,las,2
MLM,martin,2
MOGO,mogo,2
MRVL,marvell,2
CVX,chevron,2
SNOW,snowflake,2
CSOD,cornerstone,2
COST,costco,2
NKE,nike,2
PENN,penn,2
RFP,resolute,2
RHI,robert,2
SAP,sap,2
SBUX,starbucks,2
SE,sea,2
SEE,sealed,2
SHOP,shopify,2
SLM,slm,2
MP,mp,2
